Common name,Scientific name,Expansion,Color,PowerCategory,Power text,Predator,Flocking,Bonus card,Victory points,Nest type,Egg capacity,Wingspan,Forest,Grassland,Wetland,Invertebrate,Seed,Fish,Fruit,Rodent,Nectar,Wild (food),/ (food cost),* (food cost),Total food cost,Anatomist,Cartographer,Historian,Photographer,Backyard Birder,Bird Bander,Bird Counter,Bird Feeder,Diet Specialist,Enclosure Builder,Falconer,Fishery Manager,Food Web Expert,Forester,Large Bird Specialist,Nest Box Builder,Omnivore Expert,Passerine Specialist,Platform Builder,Prairie Manager,Rodentologist,Viticulturalist,Wetland Scientist,Wildlife Gardener,Caprimulgiform Specialist,Small Clutch Specialist,Endangered Species Protector,Beak Pointing Left,Beak Pointing Right,Note,id,additionalRulings/0/text,additionalRulings/0/source,additionalRulings/1/text,additionalRulings/1/source,rulings/0/text,rulings/0/source,additionalRulings/2/text,additionalRulings/2/source,additionalRulings/3/text,additionalRulings/3/source,additionalRulings/4/text,additionalRulings/4/source,rulings/1/text,rulings/1/source,rulings/2/text,rulings/2/source,additionalRulings/5/text,additionalRulings/5/source,additionalRulings/6/text,additionalRulings/6/source,rulings/3/text,rulings/3/source
Spotless Crake,Zapornia tabuensis,oceania,Yellow,Hunting and Fishing,"Lay 1 [egg] on each bird in your [wetland], including this one.",,,,1,Ground,3,28,,,X,1,1,,,,,,X,,1,,,,,X,,,X,,X,,,,,,,,X,,,,,X,,,,,,X,Eggs are laid after scoring the round-end goal for Round 4.,345,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,,,
Spotted Dove,Streptopelia chinensis,asia,Brown,,"If this bird has no birds to the right of it, you may move it (only the card) to the player mat of the player on your right (you choose its habitat). If you do, draw 3 [card].",,,,0,Platform,3,45,X,X,X,,1,,,,,,,,1,,,,,X,X,,X,,,,,,,,,,,X,,,,,,,,,,X,"When moving this bird to another player’s mat, place it in the leftmost open slot in any habitat. If there are no open slots in a habitat, this bird cannot be moved to that habitat. Any cached food, eggs, or tucked cards are discarded when you move it. This bird cannot be declined by the receiving player.",433,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,,,
Spotted Owl,Strix occidentalis,originalcore,White,Other,Draw 2 new bonus cards and keep 1.,,,X,5,Cavity,1,102,X,,,,,,,2,,,,,2,,,,,,,,,,,,,,X,X,X,,,,,X,,,,,X,X,,,"Draw two goal cards, pick the one you want to keep, and discard the other. If the deck of goal cards is ever exhausted, shuffle the discards to form a new face-down deck. <br>The birds with this power are all threatened or endangered, or conservationists are concerned that they soon will be because of a declining trend in their population.",226,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,,,
Spotted Sandpiper,Actitis macularius,originalcore,Brown,Card-drawing,All players draw 1 [card] from the deck.,,,,5,Ground,2,38,,,X,1,,,,,,,,,1,,,,,,,,,,X,,,X,,,,,,,,,,X,,,X,,,X,"Draw clockwise, starting with the current player.",227,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,"This bird is worth 5 points, not 4. (This misprint was corrected in the third printing, and a corrected card is available in the update pack.)",https://www.stonemaiergames.com/games/wingspan/rules/,,,,,,,,,,,,,,,,
Spotted Towhee,Pipilo maculatus,originalcore,Brown,Food from Supply,Gain 1 [seed] from the supply.,,,,0,Ground,4,28,X,X,,1,1,,1,,,,X,,1,,,,,X,X,,X,,X,,,,,,,,X,,,,X,,,,,,,X,,228,You may only reroll dice when gaining food from the birdfeeder and not when gaining food from the supply.,https://www.boardgamegeek.com/thread/2208584/article/32288825#32288825,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,
Sprague's Pipit,Anthus spragueii,originalcore,White,Other,Draw 2 new bonus cards and keep 1.,,,X,3,Ground,3,25,,X,,1,1,,,,,,,,2,,,X,,X,,,X,,X,,,,,,,,X,,X,,,,,,,X,X,,"Draw two goal cards, pick the one you want to keep, and discard the other. If the deck of goal cards is ever exhausted, shuffle the discards to form a new face-down deck. <br>The birds with this power are all threatened or endangered, or conservationists are concerned that they soon will be because of a declining trend in their population.",229,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,,,
Squacco Heron,Ardeola ralloides,european,Brown,Card-drawing,Gain 1 face-up [card] that can live in [wetland].,,,,3,Platform,2,86,,,X,1,,1,,,,,,,2,,,,,X,,,,,,,X,,,X,,,,X,,,,X,,,X,,X,,"If no with [card] that habitat is available, do not gain anything.",230,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,,,
Sri Lanka Blue-Magpie,Urocissa ornata,asia,Teal,,You may cache 1 [wild] from your supply on each of your other birds.,,,,9,Bowl,2,74,X,,,1,,,1,1,,,,,3,,X,,X,,,,,X,,,,,X,X,,,,,,X,X,,X,,X,,X,,"For these powers, the birds that you cache food on do not need to have a caching power themselves. <br><br>The number of caches allowed by the card (such as “each bird in this row”) is a maximum: you may cache less than this amount.",434,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka Frogmouth,Batrachostomus moniliger,asia,Brown,,"Roll any 1 [die]. If you roll a [invertebrate], cache 1 [invertebrate] from the supply on this bird. All players may discard 1 [card] from their hand to gain 1 [invertebrate] from the supply.",X,,,4,Bowl,1,36,X,,,1,,,,,,,,,1,,X,,,,,,,,,X,,X,X,,,,,,,,,,X,X,X,,,,Rolling the ([invertebrate]/[seed]) face counts as rolling a [invertebrate]. <br>The second half of these powers is independent of the first: All players may discard a to gain a food whether or not the die roll was successful. You are always included in “all players.”,435,"<i>""Discarding""</i> food while resolving a bird power counts as <i>""spending""</i>.",https://www.discord.com/channels/608588053052653580/693358238439047229/778341560205967380,You may only reroll dice when gaining food from the birdfeeder and not when gaining food from the supply.,https://www.boardgamegeek.com/thread/2208584/article/32288825#32288825,,,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,
Steller's Jay,Cyanocitta stelleri,originalcore,Brown,Caching Food,Gain 1 [seed] from the birdfeeder (if available). You may cache it on this card.,,,,5,Bowl,2,48,X,,,,2,,,,,1,,,3,,,X,,,,,X,X,,,,,X,,,X,,,,,,,X,,X,,X,,"The birds with these powers are known for caching extra food and saving it for later. As noted on these cards, you can cache exactly 1 food token when their power is activated by placing it on a bird card. Once a food token is cached on a bird card, you cannot spend it. Each token on the card at the end of the game is worth 1 point. If the same dice are showing in the birdfeeder, you may reroll to see if you meet the condition of the bird. If you run out of food tokens, you can cache cards instead.",231,Regular reroll rules apply whenever you have the opportunity to gain food from the birdfeeder.,https://www.stonemaiergames.com/games/wingspan/rules/,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,
Stork-Billed Kingfisher,Pelargopsis capensis,asia,Brown,,"Choose any 1 [die]. Roll it once for each of your [wetland] birds. If you roll at least 1 [fish], gain 1 from the supply. You may cache it on this bird.",X,,,6,Cavity,2,56,,,X,,,2,,,,,,,2,X,,,,,,,,,,X,X,,,,X,,,,,,,X,,,X,,,X,"If you roll more than 1 [fish], gain only 1.",436,You may only reroll dice when gaining food from the birdfeeder and not when gaining food from the supply.,https://www.boardgamegeek.com/thread/2208584/article/32288825#32288825,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,
Stubble Quail,Coturnix pectoralis,oceania,White,,Discard up to 6 [wild]. Lay 1 [egg] on this bird for each discarded food.,,,,4,Ground,6,29,,X,,1,1,,,,,,X,,1,,,,,,,,X,,X,,,,,,,,X,,X,,,,,,,,,X,,346,"<i>""Discarding""</i> food while resolving a bird power counts as <i>""spending""</i>.",https://www.discord.com/channels/608588053052653580/693358238439047229/778341560205967380,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,
Sulphur-Crested Cockatoo,Cacatua galerita,oceania,Brown,Card-drawing,"Tuck 1 [card] from your hand behind this bird. If you do, all players gain 1 [nectar] from the supply.",,X,,6,Cavity,2,103,X,,,,1,,1,,,,,,2,X,,,X,,,X,X,,,,,,X,X,X,,,,,,X,,,,X,,X,,,347,You may only reroll dice when gaining food from the birdfeeder and not when gaining food from the supply.,https://www.boardgamegeek.com/thread/2208584/article/32288825#32288825,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,
Superb Lyrebird,Menura novaehollandiae,oceania,Brown,Food-related,Copy a brown power on one bird in the [forest] of the player to your right.,,,,5,Wild,1,73,X,,,2,,,,,,1,,,3,,,,,,,,,X,X,,,,X,X,X,X,,X,,,,,X,,X,,,X,The copied power must be a brown “when activated” power.,348,,,,,"If you use this bird's power to copy the power of a bird that lets it move to another habitat---and this bird satisfies applicable conditions (e.g., being the rightmost bird in its habitat)---this bird may move to that habitat, even one in which it cannot be played.",https://www.facebook.com/groups/wingspanboardgame/permalink/677258919644380/?comment_id=677284199641852&reply_comment_id=677287326308206,,,,,,,"This bird counts towards <strong applink=""/card/1016"">Forester</strong> bonus card even though it can potentially fly elsewhere.",https://www.facebook.com/groups/wingspanboardgame/permalink/708244956545776/?comment_id=708275409876064,"When a bird (e.g., the <strong applink=""/card/131"">Gray Catbird</strong>) repeats this bird's power, it repeats the copying power printed on this bird and not any powers this bird repeated earlier in the turn. Since being a predator power is a property of a power, this bird copying a predator power and the power succeeding counts as success of a predator power (e.g., for purposes of enabling the activation of a pink power on another player's mat, like that of the <strong applink=""/card/32"">Black Vulture</strong>).",https://www.facebook.com/groups/wingspanboardgame/permalink/714240602612878/?comment_id=714367625933509&reply_comment_id=715341599169445,,,,,"When this bird copies another bird's power, it retains any effects specified in the copied bird's power text as long as those effects may occur but not beyond the end of the turn. (So, e.g., if it copies the <strong applink=""/card/76"">Coal Tit</strong>'s power, it retains the ability to spend [seed] cached on this bird until the end of the turn but no longer, and if copies the <strong applink=""/card/255"">Wood Duck</strong>'s power, the copied power still obligates you to discard a card at the end of your turn.)",https://www.facebook.com/groups/wingspanboardgame/permalink/714240602612878/?comment_id=714367625933509
Swainson's Hawk,Buteo swainsoni,originalcore,Brown,Hunting/Fishing,"Look at a [card] from the deck. If <75cm, tuck it behind this bird. If not, discard it.",X,,,5,Platform,2,130,,X,,1,,,,1,,,,,2,,,X,,,,,,,,X,,,,X,,,,X,X,X,,,,,X,,,X,"These birds eat other birds. Look at the wingspan of the top card of the deck and compare it to their hunting power. <br>If the wingspan of the top card in the deck is less than the bird’s hunting power, tuck that card to signify that your predator hunted successfully. Each tucked card is worth 1 point at the end of the game. <br>If the wingspan of the top card is equal to or larger than your predator’s power, discard the card instead.",232,,,,,,,,,,,,,,,,,,,,,,
Tawny Frogmouth,Podargus strigoides,oceania,Brown,Flocking,Reset the birdfeeder. Cache 1 [invertebrate] or [rodent] from the birdfeeder (if available) on this bird.,X,,,5,Platform,2,82,X,X,X,2,,,,1,,,,,3,X,,,X,,X,,,X,,X,,,,X,,,,X,,X,,,,X,X,,,X,"You gain a total of 1 food. Remove the die from the birdfeeder when you gain the food, as you would normally.",349,,,,,,,,,,,,,,,,,,,,,,
Thekla's Lark,Galerida theklae,european,Brown,Egg-laying,"Discard 1 [seed] from your supply. If you do, lay 2 [egg] on this bird.",,,,4,Ground,3,34,,X,,2,1,,,,,,,,3,,,X,,,,,X,X,X,,,,,,,,,,X,,,,,,,,,X,,233,"<i>""Discarding""</i> food while resolving a bird power counts as <i>""spending""</i>.",https://www.discord.com/channels/608588053052653580/693358238439047229/778341560205967380,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,
Tree Swallow,Tachycineta bicolor,originalcore,Brown,Flocking,"Tuck a [card] from your hand behind this bird. If you do, draw 1 [card].",,X,,3,Cavity,4,38,,,X,1,,,1,,,,,,2,,,,,X,,X,,,,,,,,,X,,,,,,X,X,,,,,X,,"These birds all allow you to tuck a card from your hand for a point, then gain some additional benefit (lay an egg, draw a card, or gain a food). You can only gain the benefit if you first tuck a card from your hand.",234,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,,,
Trumpeter Finch,Bucanetes gitragineus,asia,White,,Play 1 additional bird in your [grassland]. You may ignore 1 [seed] or 1 [egg] in its cost.,,,,3,Ground,4,24,,X,,,2,,,,,,,,2,,,,,X,,,X,,X,,,,,,,,X,,X,,,,,,,,,X,You may ignore 1 [wild] requirement in the additional bird’s food cost in place of ignoring 1 [seed] in it.,437,,,,,,,,,,,,,,,,,,,,,,
Trumpeter Swan,Cygnus buccinator,originalcore,,,,,,,9,Ground,2,203,,,X,,2,,,,,1,,,3,,,,,,,,X,X,X,,,,,X,,X,,,,,,X,,,X,,,X,,235,,,,,,,,,,,,,,,,,,,,,,
Tufted Titmouse,Baeolophus bicolor,originalcore,White,Other,Play a second bird in your [forest]. Pay its normal cost.,,,,2,Cavity,3,25,X,,,1,1,,1,,,,X,,1,,,,,X,,,X,,,,,,X,,X,,X,,,,X,,,,,,X,,"Play another bird into the same habitat. You must follow all other rules about how to play birds: it must be a bird that can live in that habitat, and you must discard the food and egg cost for that bird. <br>The birds with this power all are known for spending time in mixed flocks with multiple bird species. Research has shown this can have benefits such as help finding food and being alerted about predators.",236,"You may substitute 2 [wild] for any 1 food in a bird's food cost whenever you play a bird, including outside the scope of the <i>""play a bird""</i> action.",https://www.facebook.com/groups/wingspanboardgame/?post_id=592455651458041&comment_id=592685648101708&reply_comment_id=592771751426431,,,"If you use this bird's power to play another bird with a <i>""play a second bird""</i> power, you may then use the latter bird's power to play yet another bird.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-31474,,,,,,,,,,,,,,,,
